0,Player,Pos,College,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,Expected WS by Pick %,Expected WS by Pick,(Actual WS - Expected (By Pick))* .5,Next 3 Position Avg WS,(Actual WS - Expected (Next 3))*.5,Draft Score,Z-Score,FIC,Year,VA,TPA
195,Giannis Antetokounmpo,F,,528,32.5,20.1,8.9,4.3,1.2,1.3,0.526,0.568,0.284,0.722,64.4,0.02435141,15.85276791,24.27361605,3.633333333,30.38333333,54.65694938,3.84,0,2013,,
196,Lucas Nogueira,C,,141,12.4,3.2,2.8,0.5,0.6,1,0.632,0.681,0.265,0.64,6,0.0232275,15.1211025,-4.56055125,41.76666667,-17.88333333,-22.44388458,-1.66,194.75,2013,,
197,Dennis Schršder,G,,496,25.5,14.1,2.8,4.6,0.8,0.1,0.436,0.474,0.337,0.828,16.7,0.02210359,14.38943709,1.155281455,7.1,4.8,5.955281455,0.36,202.125,2013,,
198,Shane Larkin,G,Miami (FL),256,19.1,5.5,1.9,2.9,0.9,0.1,0.422,0.454,0.336,0.777,4.4,0.02116699,13.77971049,-4.689855245,12.13333333,-3.866666667,-8.556521912,-0.67,428.8,2013,8.22,
199,Sergey Karasev,G,,95,11.7,3,1.5,0.9,0.3,0,0.395,0.489,0.282,0.842,0.8,0.02013674,13.10901774,-6.15450887,15.3,-7.25,-13.40450887,-1.02,358.875,2013,,
200,Tony Snell,G,New Mexico,501,22.5,6.5,2.3,1.2,0.5,0.2,0.428,0.487,0.385,0.838,16.1,0.01929381,12.56027031,1.769864845,14.16666667,0.966666667,2.736531512,0.13,268.5,2013,2.67,
201,Gorgui Dieng,C,Louisville,515,22,7.9,6.1,1.4,0.8,1,0.5,0.519,0.342,0.788,27.4,0.01845088,12.01152288,7.69423856,34.9,-3.75,3.94423856,0.22,457.75,2013,7.52,
202,Mason Plumlee,C,Duke,532,21.6,8.3,6.2,2.2,0.8,0.9,0.574,0.58,0.063,0.562,34.3,0.01760794,11.46276894,11.41861553,23.46666667,5.416666667,16.8352822,1.14,546.8,2013,9.66,
203,Solomon Hill,F,Arizona,364,22,5.8,3.2,1.6,0.7,0.2,0.395,0.446,0.336,0.801,10.7,0.01685867,10.97499417,-0.137497085,0.033333333,5.333333333,5.195836248,0.31,358.2,2013,5.17,
204,Tim Hardaway,G,Michigan,474,26.6,13.5,2.7,1.9,0.6,0.1,0.421,0.489,0.353,0.816,19.5,0.01610939,10.48721289,4.506393555,8.033333333,5.733333333,10.23972689,0.67,328.9,2013,4.64,
205,Reggie Bullock,G,UNC,301,19.7,6.9,2.1,1.1,0.5,0.1,0.43,0.491,0.385,0.826,10.3,0.01536012,9.99943812,0.15028094,4.466666667,2.916666667,3.066947607,0.16,467.9,2013,7.47,
206,Andre Roberson,G,Colorado,302,22.3,4.6,4,0.9,0.9,0.7,0.477,0.604,0.255,0.468,12.7,0.01461085,9.51166335,1.594168325,4.8,3.95,5.544168325,0.33,416.8,2013,6.88,
207,Rudy Gobert,C,,474,29.5,11.7,11,1.4,0.7,2.2,0.64,0.64,0,0.631,63.6,0.01395523,9.08485473,27.25757264,4,29.8,57.05757264,4.01,240.375,2013,,
208,Livio Jean-Charles,F,,,,,,,,,,,,,,0.01339328,8.71902528,-4.35951264,4.433333333,-2.216666667,-6.576179307,-0.53,84.125,2013,,
209,Archie Goodwin,G,Kentucky,165,14.5,6.3,2,1.2,0.4,0.2,0.429,0.484,0.236,0.7,1.1,0.01273766,8.29221666,-3.59610833,6.1,-2.5,-6.09610833,-0.5,234.8,2013,1.39,
210,Nemanja Nedovic,G,,24,5.9,1.1,0.6,0.5,0,0,0.205,0.238,0.167,0.875,-0.4,0.01217571,7.92638721,-4.163193605,6.233333333,-3.316666667,-7.479860272,-0.6,34,2013,,
211,Allen Crabbe,G,California,381,24,9.1,2.8,1.1,0.6,0.3,0.425,0.471,0.387,0.831,13.7,0.01152009,7.49957859,3.100210705,3.1,5.3,8.400210705,0.54,391.6,2013,6.59,
212,çlex Abrines,G,,174,16,5.3,1.4,0.5,0.5,0.1,0.387,0.443,0.368,0.88,5,0.01095813,7.13374263,-1.066871315,1.366666667,1.816666667,0.749795352,-0.01,35.25,2013,,
213,Carrick Felix,G,Arizona State,7,5.4,2.7,0.9,0.6,0,0,0.5,0.556,0.4,0.75,0,0.01048984,6.82888584,-3.41444292,2.066666667,-1.033333333,-4.447776253,-0.38,437.5,2013,5.14,
214,Isaiah Canaan,G,Murray State,235,20.4,8.1,1.9,1.9,0.6,0.1,0.371,0.404,0.351,0.836,4.3,0.00992788,6.46304988,-1.08152494,0.933333333,1.683333333,0.601808393,-0.02,376.6,2013,5.7,
215,Glen Rice,G,Georgia Tech,16,9.5,2.7,1.5,0.6,0.4,0.1,0.269,0.286,0.25,0.692,-0.2,0.00945959,6.15819309,-3.179096545,1,-0.6,-3.779096545,-0.33,219,2013,,
216,Ray McCallum,G,Detroit Mercy,154,18.2,6,2,2.4,0.5,0.2,0.408,0.43,0.335,0.711,2.1,0.00889763,5.79235713,-1.846178565,0.3,0.9,-0.946178565,-0.13,479.1,2013,8.28,
217,Tony Mitchell,F,University of North Texas,21,3.8,1,1.2,0.1,0.3,0.1,0.417,0.364,1,0.579,0.2,0.00842933,5.48749383,-2.643746915,4.366666667,-2.083333333,-4.727080248,-0.4,362.4,2013,2.18,
218,Nate Wolters,G,South Dakota State,84,18.8,5.5,2.2,2.5,0.5,0.2,0.423,0.452,0.261,0.635,0.9,0.00796104,5.18263704,-2.14131852,-0.2,0.55,-1.59131852,-0.18,573,2013,9.37,
219,Jeff Withey,C,Kansas,206,10.1,3.2,2.5,0.3,0.3,0.8,0.525,0.537,0.143,0.716,6.8,0.00749274,4.87777374,0.96111313,2.6,2.1,3.06111313,0.16,551,2013,8.3,
220,Grant Jerrett,F,Arizona,8,6.4,2,1.1,0.4,0.3,0.3,0.269,0.545,0.067,1,-0.1,0.00702445,4.57291695,-2.336458475,5.4,-2.75,-5.086458475,-0.43,179,2013,2.44,
221,Jamaal Franklin,G,San Diego State,24,7.3,1.8,1,0.4,0.2,0.1,0.415,0.393,0.462,1,0,0.00664981,4.32902631,-2.164513155,-0.166666667,0.083333333,-2.081179822,-0.21,448.9,2013,6.88,
222,Pierre Jackson,G,Baylor,8,10.5,4.4,1.1,2.4,0.3,0,0.333,0.357,0.273,0.857,0,0.00618151,4.02416301,-2.012081505,1.733333333,-0.866666667,-2.878748172,-0.27,496.8,2013,8.67,
223,Ricky Ledo,G,Providence,28,9.9,3.9,1.4,0.8,0.3,0,0.336,0.321,0.371,0.769,-0.6,0.00580688,3.78027888,-2.19013944,1.866666667,-1.233333333,-3.423472773,-0.31,0,2013,,
224,Mike Muscala,F,Bucknell,354,15.4,5.6,3.1,0.9,0.4,0.5,0.46,0.543,0.368,0.839,13.2,0.00543224,3.53638824,4.83180588,0.966666667,6.116666667,10.94847255,0.72,604.4,2013,8.9,
225,Marko Todorovic,F,,,,,,,,,,,,,,0.00496394,3.23152494,-1.61576247,5.666666667,-2.833333333,-4.449095803,-0.38,41.5,2013,,
226,Erick Green,G,Virginia Tech,52,8.7,3.1,0.7,0.8,0.3,0,0.377,0.415,0.288,0.857,0.1,0.0045893,2.9876343,-1.44381715,1.766666667,-0.833333333,-2.277150483,-0.23,465.4,2013,10.12,
227,Raul Neto,G,,253,13.8,4.9,1.3,1.9,0.5,0.1,0.446,0.485,0.379,0.789,5.7,0.00421467,2.74375017,1.478124915,-0.2,2.95,4.428124915,0.25,189.25,2013,,
228,Ryan Kelly,F,Duke,163,19.2,6,3.1,1.3,0.5,0.5,0.378,0.416,0.316,0.797,3,0.00384003,2.49985953,0.250070235,4.666666667,-0.833333333,-0.583263098,-0.1,245.4,2013,4.78,
229,Erik Murphy,F,Florida,24,2.6,0.3,0.3,0.1,0,0.2,0.231,0.3,0,,-0.1,0.00346539,2.25596889,-1.177984445,4.7,-2.4,-3.577984445,-0.32,342.6,2013,7.2,
230,James Ennis,F,Cal State Long Beach,347,20.1,6.5,3.3,0.9,0.6,0.3,0.455,0.539,0.35,0.795,14.1,0.00318442,2.07305742,6.01347129,0,7.05,13.06347129,0.87,426.6,2013,5.88,
231,Romero Osby,F,Oklahoma,,,,,,,,,,,,,0.00280978,1.82916678,-0.91458339,0,0,-0.91458339,-0.13,382.2,2013,7.67,
232,Lorenzo Brown,G,NC State,103,11.5,2.8,1.5,1.8,0.6,0.1,0.364,0.453,0.17,0.707,-0.2,0.00243514,1.58527614,-0.89263807,-0.2,0,-0.89263807,-0.13,394.2,2013,5.77,
233,Colton Iverson,C,Colorado State,,,,,,,,,,,,,0.00215416,1.40235816,-0.70117908,5.2,-2.6,-3.30117908,-0.3,445.8,2013,5.99,
234,Arsalan Kazemi,F,Oregon,,,,,,,,,,,,,0.00177953,1.15847403,-0.579237015,0,0,-0.579237015,-0.1,472.9,2013,7.64,
235,Joffrey Lauvergne,C,,208,13.6,5.6,3.8,0.9,0.3,0.2,0.479,0.52,0.285,0.719,5.2,0.00149855,0.97555605,2.112221975,0,2.6,4.712221975,0.27,45,2013,,
236,Peyton Siva,G,Louisville,24,9.3,2.3,0.6,1.4,0.4,0,0.316,0.344,0.28,0.733,-0.2,0.00112391,0.73166541,-0.465832705,0,-0.1,-0.565832705,-0.1,346.25,2013,7.67,
237,Alex Oriakhi,F,Missouri,,,,,,,,,,,,,0.00084293,0.54874743,-0.274373715,0,0,-0.274373715,-0.08,407.2,2013,6.53,
238,Deshaun Thomas,F,Ohio State,,,,,,,,,,,,,0.00056196,0.36583596,-0.18291798,0,0,-0.18291798,-0.08,411.4,2013,7.5,
239,Bojan Dubljevic,F,,,,,,,,,,,,,,0.00018732,0.12194532,-0.06097266,0,0,-0.06097266,-0.07,0,2013,,
240,Janis Timma,F,,,,,,,,,,,,,,-0.0000937,-0.0609987,0.03049935,0,0,0.03049935,-0.06,0,2013,,
241,Andrew Wiggins,F,Kansas,454,35.8,19.7,4.4,2.3,1,0.6,0.441,0.471,0.332,0.732,15,0.07202398,35.43579816,-10.21789908,18.46666667,-1.733333333,-11.95123241,-1.25,370.1,2014,6.72,
242,Jabari Parker,F,Duke,285,29,14.9,5.7,2.1,0.9,0.4,0.493,0.53,0.324,0.74,13.2,0.05984827,29.44534884,-8.12267442,17.16666667,-1.983333333,-10.10600775,-1.06,468.2,2014,8.73,
243,Joel Embiid,C,Kansas,209,30.4,23.9,11.5,3.1,0.8,1.8,0.48,0.524,0.319,0.793,22.8,0.05263651,25.89716292,-1.54858146,34.13333333,-5.666666667,-7.215248127,-0.78,339.6,2014,6.99,
244,Aaron Gordon,F,Arizona,403,28.6,12.8,6.4,2.4,0.8,0.6,0.448,0.509,0.319,0.701,21.7,0.04757891,23.40882372,-0.85441186,14.56666667,3.566666667,2.712254807,0.2,416.5,2014,6.47,
245,Dante Exum,G,,239,18.5,5.7,1.8,2.1,0.4,0.2,0.407,0.484,0.308,0.766,3.1,0.04364522,21.47344824,-9.18672412,13.13333333,-5.016666667,-14.20339079,-1.47,0,2014,,
246,Marcus Smart,G,Oklahoma State,401,28.9,9.9,3.6,4.1,1.6,0.4,0.373,0.432,0.318,0.775,20.7,0.0404608,19.9067136,0.3966432,10.23333333,5.233333333,5.629976533,0.48,448.5,2014,10.48,
247,Julius Randle,F,Kentucky,375,29.2,16.1,9,2.8,0.7,0.5,0.493,0.521,0.295,0.724,20.5,0.03774469,18.57038748,0.96480626,12.63333333,3.933333333,4.898139593,0.41,505.6,2014,7.71,
248,Nik Stauskas,G,Michigan,335,19.9,6.8,2.1,1.5,0.4,0.2,0.389,0.436,0.353,0.814,3.8,0.0354032,17.4183744,-6.8091872,9.233333333,-2.716666667,-9.525853867,-1.01,399,2014,7.65,
249,Noah Vonleh,F,Indiana,335,16.9,5,5.2,0.8,0.4,0.4,0.46,0.501,0.31,0.691,9.3,0.0333427,16.4046084,-3.5523042,16.03333333,-3.366666667,-6.918970867,-0.75,325.8,2014,5.84,
250,Elfrid Payton,G,LA-Lafayette,387,29.3,11,4.4,6.6,1.3,0.4,0.452,0.479,0.289,0.625,14.9,0.03146951,15.48299892,-0.29149946,4.7,5.1,4.80850054,0.4,527.5,2014,5.16,
251,Doug McDermott,F,Creighton,410,19.9,8.2,2.2,0.8,0.2,0.1,0.465,0.508,0.412,0.825,13.9,0.02978365,14.6535558,-0.3767779,11.2,1.35,0.9732221,0.02,556.2,2014,10.81,
252,Dario Saric,F,,306,26.5,12.2,6.2,2.1,0.6,0.2,0.441,0.501,0.358,0.837,14.7,0.0282851,13.9162692,0.3918654,6.8,3.95,4.3418654,0.36,0,2014,,
253,Zach LaVine,G,UCLA,353,30.8,17.7,3.6,3.6,1,0.3,0.447,0.484,0.375,0.819,12,0.02688021,13.22506332,-0.61253166,6.666666667,2.666666667,2.054135007,0.13,209,2014,1.67,
254,T.J. Warren,F,NC State,328,28.8,15.5,4.1,1.2,1,0.5,0.507,0.535,0.361,0.779,19.5,0.02556898,12.57993816,3.46003092,0.733333333,9.383333333,12.84336425,1.19,506.2,2014,10.96,
255,Adreian Payne,F,Michigan State,107,13.1,4,2.9,0.6,0.4,0.3,0.406,0.43,0.254,0.68,-0.6,0.02435141,11.98089372,-6.29044686,1.166666667,-0.883333333,-7.173780193,-0.78,352.8,2014,5.84,
256,Jusuf Nurkic,C,,318,23.1,11.8,8.1,2,0.9,1.3,0.492,0.498,0.096,0.673,17.3,0.0232275,11.42793,2.936035,28.43333333,-5.566666667,-2.630631667,-0.33,71.625,2014,,
257,James Young,G,Kentucky,95,8.5,2.3,1,0.3,0.3,0.1,0.367,0.534,0.277,0.563,0.8,0.02210359,10.87496628,-5.03748314,6.533333333,-2.866666667,-7.904149807,-0.85,296.1,2014,5.36,
258,Tyler Ennis,G,Syracuse,186,12.6,4.2,1.3,1.9,0.5,0.1,0.419,0.458,0.317,0.768,1.3,0.02116699,10.41415908,-4.55707954,11.8,-5.25,-9.80707954,-1.04,377.6,2014,8.49,
259,Gary Harris,G,Michigan State,368,29,12.1,2.6,2.1,1.3,0.2,0.454,0.519,0.36,0.803,17.9,0.02013674,9.90727608,3.99636196,8.533333333,4.683333333,8.679695293,0.78,382,2014,7.8,
260,Bruno Caboclo,F,,99,12.7,4.3,2.6,0.7,0.4,0.6,0.4,0.487,0.316,0.846,1.5,0.01929381,9.49255452,-3.99627726,6.633333333,-2.566666667,-6.562943927,-0.72,83,2014,,
261,Mitch McGary,F,Michigan,52,10.7,4.4,3.5,0.3,0.3,0.3,0.527,0.544,0,0.58,1.3,0.01845088,9.07783296,-3.88891648,6.166666667,-2.433333333,-6.322249813,-0.69,88.5,2014,2.59,
262,Jordan Adams,G,UCLA,32,8.2,3.2,0.9,0.6,0.6,0.2,0.402,0.409,0.385,0.607,0.4,0.01760794,8.66310648,-4.13155324,8.7,-4.15,-8.28155324,-0.89,485.1,2014,11.04,
263,Rodney Hood,G,Duke,341,27.3,12.5,2.9,1.9,0.8,0.2,0.426,0.467,0.372,0.839,17.1,0.01685867,8.29446564,4.40276718,5.9,5.6,10.00276718,0.91,324.2,2014,5.51,
264,Shabazz Napier,G,UConn,345,17.4,7.1,1.9,2.5,0.8,0.1,0.397,0.448,0.345,0.815,8.1,0.01610939,7.92581988,0.08709006,3.233333333,2.433333333,2.520423393,0.18,568.8,2014,13.05,
265,Clint Capela,C,,334,26,12.2,9.7,1,0.7,1.5,0.634,0.635,0,0.526,36.4,0.01536012,7.55717904,14.42141048,24.45,5.975,20.39641048,1.93,336.375,2014,,
266,P.J. Hairston,G,UNC,111,18,6,2.4,0.5,0.5,0.2,0.343,0.414,0.295,0.81,0.9,0.01461085,7.1885382,-3.1442691,3.366666667,-1.233333333,-4.377602433,-0.5,272.25,2014,6.02,
267,Bogdan Bogdanovic,G,,209,28.2,13.5,3.2,3.5,1,0.2,0.434,0.488,0.374,0.806,8.7,0.01395523,6.86597316,0.91701342,5.366666667,1.666666667,2.583680087,0.18,176.375,2014,,
268,C.J. Wilcox,G,Washington,66,5.7,2,0.5,0.5,0.2,0.1,0.37,0.397,0.333,0.813,0.1,0.01339328,6.58949376,-3.24474688,11.43333333,-5.666666667,-8.911413547,-0.95,364.8,2014,6.69,
269,Josh Huestis,F,Stanford,76,14.1,2.5,2.4,0.3,0.2,0.6,0.346,0.4,0.312,0.24,0.7,0.01273766,6.26692872,-2.78346436,5.733333333,-2.516666667,-5.300131027,-0.59,398.2,2014,4.17,
270,Kyle Anderson,F,UCLA,367,19.7,5.4,4,2,1,0.5,0.488,0.523,0.311,0.699,17.9,0.01217571,5.99044932,5.95477534,-0.033333333,8.966666667,14.92144201,1.4,606,2014,8.4,
271,Damien Inglis,F,,20,7.8,1.8,1.6,0.5,0.3,0.2,0.351,0.417,0.231,0.875,-0.1,0.01152009,5.66788428,-2.88394214,0.066666667,-0.083333333,-2.967275473,-0.36,119.375,2014,,
272,K.J. McDaniels,G,Clemson,148,14.1,5.3,2.2,0.6,0.5,0.6,0.412,0.479,0.29,0.776,1.3,0.01095813,5.39139996,-2.04569998,13.53333333,-6.116666667,-8.162366647,-0.87,491.4,2014,10.13,
273,Joe Harris,G,Virginia,331,24.3,10.4,3.1,1.6,0.5,0.2,0.479,0.543,0.426,0.779,14.7,0.01048984,5.16100128,4.76949936,8.6,3.05,7.81949936,0.7,269,2014,4.75,
274,Cleanthony Early,F,Wichita State,56,14.3,4.3,2.2,0.8,0.5,0.3,0.346,0.4,0.263,0.75,-0.6,0.00992788,4.88451696,-2.74225848,0.266666667,-0.433333333,-3.175591813,-0.38,378.6,2014,6.28,
275,Jarnell Stokes,F,Tennessee,28,5.4,2.4,1.4,0.3,0.3,0.2,0.581,0.581,,0.531,0.6,0.00945959,4.65411828,-2.02705914,7.6,-3.5,-5.52705914,-0.61,544.8,2014,9.9,
276,Johnny O'Bryant,F,LSU,147,11.5,3.5,2.4,0.5,0.2,0.1,0.402,0.406,0.36,0.663,0.2,0.00889763,4.37763396,-2.08881698,16.2,-8,-10.08881698,-1.06,309.5,2014,1.18,
277,DeAndre Daniels,F,UConn,,,,,,,,,,,,,0.00842933,4.14723036,-2.07361518,16.16666667,-8.083333333,-10.15694851,-1.07,342.6,2014,,
278,Spencer Dinwiddie,G,Colorado,317,25.7,12.9,2.8,5,0.7,0.3,0.41,0.48,0.318,0.793,18.3,0.00796104,3.91683168,7.19158416,2.866666667,7.716666667,14.90825083,1.39,196.1,2014,5.68,
279,Jerami Grant,F,Syracuse,454,24.5,9.3,3.9,1.1,0.6,1.1,0.465,0.524,0.347,0.669,22.6,0.00749274,3.68642808,9.45678596,8.633333333,6.983333333,16.44011929,1.54,311.8,2014,5.96,
280,Glenn Robinson,G,Michigan,281,17.5,6,2.6,0.8,0.5,0.2,0.459,0.503,0.373,0.768,7.6,0.00702445,3.4560294,2.0719853,4.966666667,1.316666667,3.388651967,0.26,314.1,2014,4.86,
281,Nikola Jokic,C,,381,29,17,9.6,5.5,1.1,0.7,0.524,0.576,0.338,0.826,48.7,0.00664981,3.27170652,22.71414674,0.2,24.25,46.96414674,4.54,403,2014,,
282,Nick Johnson,G,Arizona,28,9.4,2.6,1.4,0.4,0.3,0.1,0.347,0.389,0.238,0.68,-0.1,0.00618151,3.04130292,-1.57065146,4.933333333,-2.516666667,-4.087318127,-0.47,388.6,2014,9.05,
283,Edy Tavares,C,,13,7.8,2.5,2.5,0.3,0.1,0.9,0.625,0.625,,0.273,0.2,0.00580688,2.85698496,-1.32849248,0,0.1,-1.22849248,-0.19,258.375,2014,,
284,Markel Brown,G,Oklahoma State,113,15.9,5.2,2.1,1.2,0.6,0.2,0.38,0.427,0.295,0.781,1.1,0.00543224,2.67266208,-0.78633104,4.6,-1.75,-2.53633104,-0.32,423,2014,7.16,
285,Dwight Powell,F,Stanford,371,18.7,7.7,4.6,1,0.7,0.5,0.563,0.625,0.293,0.739,26,0.00496394,2.44225848,11.77887076,0.033333333,12.98333333,24.76220409,2.36,371.9,2014,4.26,
286,Jordan Clarkson,G,Missouri,453,27,14.8,3.1,2.6,0.9,0.1,0.446,0.5,0.342,0.818,13.9,0.0045893,2.2579356,5.8210322,-0.033333333,6.966666667,12.78769887,1.19,327.1,2014,4,
287,Russ Smith,G,Louisville,27,4.9,2,0.6,0.7,0.3,0,0.319,0.387,0.188,0.769,-0.2,0.00421467,2.07361764,-1.13680882,0.033333333,-0.116666667,-1.253475487,-0.19,428.6,2014,9.82,
288,Lamar Patterson,G,Pitt,40,10.9,2.3,1.4,1.1,0.3,0.1,0.326,0.45,0.236,0.72,0.1,0.00384003,1.88929476,-0.89464738,0.033333333,0.033333333,-0.861314047,-0.16,434.4,2014,8.94,
289,Cameron Bairstow,F,New Mexico,36,4.6,1.2,1,0.2,0.1,0.1,0.296,0.306,0.2,0.846,-0.1,0.00346539,1.70497188,-0.90248594,0.066666667,-0.083333333,-0.985819273,-0.17,489,2014,8.3,
290,Alec Brown,F,Green Bay,,,,,,,,,,,,,0.00318442,1.56673464,-0.78336732,0.066666667,-0.033333333,-0.816700653,-0.15,340.2,2014,4.2,
291,Thanasis Antetokounmpo,F,,22,6.1,2.8,1.1,0.7,0.3,0.1,0.519,0.659,0,0.412,0.2,0.00280978,1.38241176,-0.59120588,0.3,-0.05,-0.64120588,-0.13,412.25,2014,,
292,Vasilije Micic,G,,,,,,,,,,,,,,0.00243514,1.19808888,-0.59904444,-0.066666667,0.033333333,-0.565711107,-0.13,272.75,2014,,
293,Alessandro Gentile,F,,,,,,,,,,,,,,0.00215416,1.05984672,-0.52992336,0.45,-0.225,-0.75492336,-0.15,184.25,2014,,
294,Nemanja Dangubic,G,,,,,,,,,,,,,,0.00177953,0.87552876,-0.43776438,0.5,-0.25,-0.68776438,-0.14,219.125,2014,,
295,Semaj Christon,G,Xavier,64,15.2,2.9,1.4,2,0.4,0.1,0.345,0.406,0.19,0.548,0.1,0.00149855,0.7372866,-0.3186433,0.466666667,-0.183333333,-0.501976633,-0.12,316.9,2014,3.34,
296,Devyn Marble,G,Iowa,44,10.4,2.2,1.6,0.7,0.5,0.1,0.304,0.377,0.222,0.375,-0.3,0.00112391,0.55296372,-0.42648186,0.85,-0.575,-1.00148186,-0.17,340.4,2014,6.04,
297,Louis Labeyrie,F,,,,,,,,,,,,,,0.00084293,0.41472156,-0.20736078,50.4,-25.2,-25.40736078,-2.57,164.25,2014,,
298,Jordan McRae,G,Tennessee,123,13.8,6.9,1.8,1.4,0.4,0.2,0.417,0.447,0.355,0.772,1.7,0.00056196,0.27648432,0.71175784,0,0.85,1.56175784,0.08,369,2014,8.36,
299,Xavier Thames,G,San Diego State,,,,,,,,,,,,,0.00018732,0.09216144,-0.04608072,0,0,-0.04608072,-0.08,378.9,2014,10.56,
300,Cory Jefferson,F,Baylor,58,10,3.5,2.8,0.3,0.2,0.4,0.444,0.474,0.125,0.583,0.9,-0.0000937,-0.0461004,0.4730502,0,0.45,0.9230502,0.02,432,2014,6.62,
301,Karl-Anthony Towns,C,Kentucky,358,34.4,22.7,11.8,2.8,0.8,1.5,0.534,0.573,0.396,0.831,50.4,0.07202398,29.86834451,10.26582775,11,19.7,29.96582775,3.52,415,2015,12.5,
302,D'Angelo Russell,G,Ohio State,317,29,17.5,3.7,5.3,1.1,0.2,0.42,0.468,0.356,0.772,8.4,0.05984827,24.81907757,-8.209538785,6.6,0.9,-7.309538785,-0.99,489.5,2015,9.23,
303,Jahlil Okafor,C,Duke,220,20.4,11,5,1,0.3,0.9,0.538,0.541,0.222,0.675,6.6,0.05263651,21.8283607,-7.614180349,11.66666667,-2.533333333,-10.14751368,-1.33,540.8,2015,8.54,
304,Kristaps Porzingis,F,,243,31.2,18.4,7.6,1.4,0.7,2,0.434,0.471,0.358,0.803,17.3,0.04757891,19.73097398,-1.215486989,8.966666667,4.166666667,2.951179678,0.25,367.625,2015,,
305,Mario Hezonja,F,,330,18.5,6.9,3.1,1.3,0.7,0.2,0.417,0.484,0.319,0.812,3.2,0.04364522,18.09967273,-7.449836367,12.03333333,-4.416666667,-11.86650303,-1.54,238.25,2015,,
306,Willie Cauley-Stein,F,Kentucky,349,23.5,9.6,6.3,1.6,0.9,0.8,0.539,0.541,0.211,0.611,20.3,0.0404608,16.77909376,1.76045312,7.833333333,6.233333333,7.993786453,0.86,399.5,2015,9.31,
307,Emmanuel Mudiay,G,,300,23.9,11,2.9,3.8,0.7,0.3,0.401,0.431,0.323,0.744,-0.2,0.03774469,15.65272294,-7.926361472,10.96666667,-5.583333333,-13.5096948,-1.74,0,2015,,
308,Stanley Johnson,F,Arizona,310,20.4,6.6,3.2,1.4,0.9,0.2,0.374,0.43,0.293,0.755,3.4,0.0354032,14.68170704,-5.64085352,10.13333333,-3.366666667,-9.007520187,-1.2,370.8,2015,6.51,
309,Frank Kaminsky,F,Wisconsin,321,21.9,9.8,4,1.6,0.5,0.4,0.422,0.475,0.347,0.75,12.4,0.0333427,13.82721769,-0.713608845,10.03333333,1.183333333,0.469724488,-0.05,643,2015,12.18,
310,Justise Winslow,F,Duke,241,28.4,9,5.4,2.7,0.9,0.4,0.417,0.447,0.337,0.646,7.7,0.03146951,13.0504058,-2.675202899,9.266666667,-0.783333333,-3.458536232,-0.52,410.8,2015,7.88,
311,Myles Turner,C,Texas,342,28.3,12.7,6.7,1.2,0.7,2.1,0.488,0.524,0.357,0.768,26.4,0.02978365,12.35127966,7.024360173,2.866666667,11.76666667,18.79102684,2.17,318.8,2015,5.73,
312,Trey Lyles,F,Kentucky,351,18,7.4,4.2,1.1,0.4,0.4,0.433,0.496,0.341,0.708,10.3,0.0282851,11.72983097,-0.714915485,9.433333333,0.433333333,-0.281582152,-0.14,255.5,2015,7.37,
313,Devin Booker,G,Kentucky,342,33.5,22.5,3.6,4.7,0.8,0.3,0.448,0.493,0.354,0.871,17.3,0.02688021,11.14722309,3.076388457,5,6.15,9.226388457,1.01,198,2015,7.61,
314,Cameron Payne,G,Murray State,161,16.4,6.2,1.9,2.5,0.7,0.2,0.403,0.444,0.344,0.781,2.7,0.02556898,10.60345601,-3.951728003,6.866666667,-2.083333333,-6.035061336,-0.84,513.9,2015,8.7,
315,Kelly Oubre,F,Kansas,348,24.1,10.9,4.1,0.9,0.9,0.5,0.431,0.503,0.329,0.778,12.1,0.02435141,10.09852973,1.000735137,9.566666667,1.266666667,2.267401803,0.17,253.8,2015,5.87,
316,Terry Rozier,G,Louisville,335,22.7,9.6,3.7,2.7,0.8,0.2,0.394,0.415,0.371,0.813,12.9,0.0232275,9.63244425,1.633777875,7.533333333,2.683333333,4.317111208,0.42,395,2015,8.11,
317,Rashad Vaughn,G,UNLV,139,12,3,1.1,0.5,0.4,0.2,0.337,0.366,0.313,0.692,-0.6,0.02210359,9.166358773,-4.883179387,9.266666667,-4.933333333,-9.81651272,-1.29,199,2015,2.34,
318,Sam Dekker,F,Wisconsin,200,15.5,5.5,3,0.8,0.5,0.2,0.478,0.57,0.288,0.606,5.4,0.02116699,8.777950753,-1.688975377,8.833333333,-1.716666667,-3.405642043,-0.52,424.4,2015,7.79,
319,Jerian Grant,G,Notre Dame,279,17.9,6.1,1.9,2.9,0.7,0.1,0.411,0.464,0.323,0.77,8.3,0.02013674,8.350706078,-0.025353039,10.3,-1,-1.025353039,-0.23,531,2015,10.33,
320,Delon Wright,G,Utah,271,19.8,7.3,3.1,2.9,1,0.4,0.45,0.497,0.342,0.79,14.9,0.01929381,8.001143007,3.449428497,5.466666667,4.716666667,8.166095163,0.88,528.1,2015,13.04,
321,Justin Anderson,G,Virginia,226,13.1,5.2,2.5,0.7,0.4,0.3,0.413,0.522,0.296,0.774,4.6,0.01845088,7.651579936,-1.525789968,4.033333333,0.283333333,-1.242456635,-0.26,233,2015,5.65,
